,nStreams,time,throughput,nEvents
0,1.0,0.470172,10.6344,5
1,2.0,0.485125,10.3066,5
2,3.0,0.51466,9.71515,5
3,4.0,0.510794,9.78868,5
4,5.0,0.50039,9.99221,5
5,6.0,0.501685,9.96641,5
6,7.0,0.519283,9.62866,5
7,8.0,0.490819,10.1871,5
8,9.0,0.528903,9.45353,5
9,10.0,0.423885,11.7957,5
