,nStreams,time,throughput,nEvents
0,1.0,0.527365,18.9622,10
1,2.0,0.350632,28.5199,10
2,3.0,0.345616,28.9338,10
3,4.0,0.33301,30.0291,10
4,5.0,0.345576,28.9372,10
5,6.0,0.344757,29.0059,10
6,7.0,0.344568,29.0218,10
7,8.0,0.342572,29.1909,10
8,9.0,0.350411,28.5379,10
9,10.0,0.342885,29.1643,10
